,States,year,Primary_Boys,Primary_Girls,Primary_Total,Upper Primary_Boys,Upper Primary_Girls,Upper Primary_Total,Secondary _Boys,Secondary _Girls,Secondary _Total,HrSecondary_Boys,HrSecondary_Girls,HrSecondary_Total,Region,reference
0,A & N Islands,2012-13,0.83,0.51,0.68,5.13,1.09,1.23,5.57,5.55,5.56,17.66,10.15,14.14,east,2012-13 east
1,A & N Islands,2013-14,1.35,1.06,1.21,4.68,1.54,0.51,8.36,5.98,7.2,18.94,12.2,15.87,east,2013-14 east
2,A & N Islands,2014-15,0.47,0.55,0.51,1.44,1.95,1.69,11.47,8.16,9.87,21.05,12.21,16.93,east,2014-15 east
3,Andhra Pradesh,2012-13,3.3,3.05,3.18,3.21,3.51,3.36,12.21,13.25,12.72,2.66,5.82,0.35,south,2012-13 south
4,Andhra Pradesh,2013-14,4.31,4.39,4.35,3.46,4.12,3.78,11.95,13.37,12.65,12.65,10.85,11.79,south,2013-14 south
5,Andhra Pradesh,2014-15,6.57,6.89,6.72,5.09,5.32,5.2,15.81,15.6,15.71,3.91,3.01,2.22,south,2014-15 south
6,Arunachal Pradesh,2013-14,11.54,10.22,10.89,4.44,6.74,5.59,16.08,12.75,14.49,18.57,15.49,17.07,ne,2013-14 ne
7,Arunachal Pradesh,2012-13,15.84,14.44,15.16,5.86,9.06,7.47,13.99,11.77,12.93,7.85,2.14,5.11,ne,2012-13 ne
8,Arunachal Pradesh,2014-15,11.51,10.09,10.82,5.31,8.08,6.71,18.33,15.81,17.11,19.37,17.44,18.42,ne,2014-15 ne
9,Assam,2012-13,7.02,5.46,6.24,7.89,6.55,7.2,25.65,27.79,26.77,4.87,4.5,4.69,ne,2012-13 ne
10,Assam,2013-14,8.19,6.68,7.44,7.6,6.54,7.05,28.59,32.1,30.43,7.62,6.83,7.24,ne,2013-14 ne
11,Assam,2014-15,16.07,14.65,15.36,10.45,10.56,10.51,24.64,29.28,27.06,12.04,9.11,10.6,ne,2014-15 ne
12,Bihar,2012-13,4.68,4.19,4.44,5.13,3.68,3.92,29.11,31.28,30.14,12.74,9.32,11.14,east,2012-13 east
