,States,Child sex ratio in population (0-6 age group) - Total - 2001,Child sex ratio in population (0-6 age group) - Total - 2011,Child sex ratio in population (0-6 age group) - Rural - 2001,Child sex ratio in population (0-6 age group) - Rural - 2011,Child sex ratio in population (0-6 age group) - Urban - 2001,Child sex ratio in population (0-6 age group) - Urban - 2011,Sex ratio of total population - Total - 2001,Sex ratio of total population - Total - 2011,Sex ratio of total population - Rural - 2001,Sex ratio of total population - Rural - 2011,Sex ratio of total population - Urban - 2001,Sex ratio of total population - Urban - 2011,Decadal growth rate - Total - 1991-01,Decadal growth rate - Total - 2001-11,Decadal growth rate - Rural - 1991-01,Decadal growth rate - Rural - 2001-11,Decadal growth rate - Urban - 1991-01,Decadal growth rate - Urban - 2001-11
0,All India,927.0,918.0,934.0,923.0,906.0,905.0,933.0,943.0,946.0,949.0,900.0,929.0,21.5,17.7,19.2,12.3,32.6,31.8
1,Andhra Pradesh,961.0,939.0,963.0,941.0,955.0,935.0,978.0,993.0,983.0,996.0,965.0,987.0,14.6,11.0,13.9,1.7,16.3,35.6
2,Arunachal Pradesh,964.0,972.0,960.0,975.0,980.0,957.0,893.0,938.0,914.0,953.0,819.0,890.0,27.0,26.0,15.4,22.6,106.0,39.3
3,Assam,965.0,962.0,967.0,964.0,943.0,944.0,935.0,958.0,944.0,960.0,872.0,946.0,18.9,17.1,16.5,15.5,38.2,27.9
4,Bihar,942.0,935.0,944.0,938.0,924.0,912.0,919.0,918.0,926.0,921.0,868.0,895.0,28.6,25.4,28.5,24.3,29.4,35.4
5,Chhattisgarh,975.0,969.0,982.0,977.0,938.0,937.0,989.0,991.0,1004.0,1001.0,932.0,956.0,18.3,22.6,14.4,17.8,36.6,41.8
6,Goa,938.0,942.0,952.0,945.0,924.0,940.0,961.0,973.0,988.0,1003.0,934.0,956.0,15.2,8.2,-1.9,-18.5,39.8,35.2
7,Gujarat,883.0,890.0,906.0,914.0,837.0,852.0,920.0,919.0,945.0,949.0,880.0,880.0,22.7,19.3,17.3,9.3,32.9,36.0
8,Haryana,819.0,834.0,823.0,835.0,808.0,832.0,861.0,879.0,866.0,882.0,847.0,873.0,28.4,19.9,21.1,9.8,50.8,44.6
9,Himachal Pradesh,896.0,909.0,900.0,912.0,844.0,881.0,968.0,972.0,989.0,986.0,795.0,853.0,17.5,12.9,16.1,12.7,32.6,15.6
