,Category,Country/ States/ Union Territories Name,Sex ratio of total population - Total - 2001,Sex ratio of total population - Total - 2011,Sex ratio of total population - Rural - 2001,Sex ratio of total population - Rural - 2011,Sex ratio of total population - Urban - 2001,Sex ratio of total population - Urban - 2011
0,Country,INDIA,933.0,943.0,946.0,949.0,900.0,929.0
1,State,Andhra Pradesh,978.0,993.0,983.0,996.0,965.0,987.0
2,State,Arunachal Pradesh,893.0,938.0,914.0,953.0,819.0,890.0
3,State,Assam,935.0,958.0,944.0,960.0,872.0,946.0
4,State,Bihar,919.0,918.0,926.0,921.0,868.0,895.0
5,State,Chhattisgarh,989.0,991.0,1004.0,1001.0,932.0,956.0
6,State,Goa,961.0,973.0,988.0,1003.0,934.0,956.0
7,State,Gujarat,920.0,919.0,945.0,949.0,880.0,880.0
8,State,Haryana,861.0,879.0,866.0,882.0,847.0,873.0
9,State,Himachal Pradesh,968.0,972.0,989.0,986.0,795.0,853.0
10,State,Jammu & Kashmir,892.0,889.0,917.0,908.0,819.0,840.0
11,State,Jharkhand,941.0,948.0,962.0,961.0,870.0,910.0
12,State,Karnataka,965.0,973.0,977.0,979.0,942.0,963.0
13,State,Kerala,1058.0,1084.0,1059.0,1078.0,1058.0,1091.0
14,State,Madhya Pradesh,919.0,931.0,927.0,936.0,898.0,918.0
15,State,Maharashtra,922.0,929.0,960.0,952.0,873.0,903.0
16,State,Manipur,978.0,985.0,967.0,969.0,1009.0,1026.0
17,State,Meghalaya,972.0,989.0,969.0,986.0,982.0,1001.0
18,State,Mizoram,935.0,976.0,923.0,952.0,948.0,998.0
19,State,Nagaland,900.0,931.0,916.0,940.0,829.0,908.0
20,State,Odisha,972.0,979.0,987.0,989.0,895.0,932.0
21,State,Punjab,876.0,895.0,890.0,907.0,849.0,875.0
22,State,Rajasthan,921.0,928.0,930.0,933.0,890.0,914.0
23,State,Sikkim,875.0,890.0,880.0,882.0,830.0,913.0
24,State,Tamil Nadu,987.0,996.0,992.0,993.0,982.0,1000.0
25,State,Tripura,948.0,960.0,946.0,955.0,959.0,973.0
26,State,Uttar Pradesh,898.0,912.0,904.0,918.0,876.0,894.0
27,State,Uttarakhand,962.0,963.0,1007.0,1000.0,845.0,884.0
28,State,West Bengal,934.0,950.0,950.0,953.0,893.0,944.0
29,Union Territory,A & N Islands,846.0,876.0,861.0,877.0,815.0,874.0
30,Union Territory,Chandigarh,777.0,818.0,621.0,690.0,796.0,822.0
31,Union Territory,D & N Haveli,812.0,774.0,852.0,863.0,691.0,682.0
32,Union Territory,Daman & Diu,710.0,618.0,586.0,864.0,984.0,551.0
33,Union Territory,Lakshadweep,948.0,946.0,959.0,952.0,935.0,945.0
34,Union Territory,NCT of Delhi,821.0,868.0,810.0,852.0,822.0,868.0
35,Union Territory,Puducherry,1001.0,1037.0,990.0,1028.0,1007.0,1042.0
36,State,Telangana,997.8,1016.6,1000.2,1014.8,990.8,1016.6
